revid,parentid,user,userid,timestamp,size,comment,tags,page,resolved_title,Article,anon,temp
687919302,687919002,2601:188:0:ABE6:65F5:930C:B0B2:CD63,0,2015-10-28T13:28:46Z,14332,"Undid revision 687919002 by [[Special:Contributions/06Dom,TJ,Alex ext2015|06Dom,TJ,Alex ext2015]] ([[User talk:06Dom,TJ,Alex ext2015|talk]]) appears copied from http://www.nickbostrom.com/existential/risks.html",[],Existential_risk_from_artificial_intelligence,Existential risk from artificial intelligence,Existential_risk_from_artificial_intelligence,True,
687921316,687919302,"06Dom,TJ,Alex ext2015",26594493,2015-10-28T13:42:20Z,15254,/* Misspecified goals */ I added how the future of AI will be different from current AI,['visualeditor'],Existential_risk_from_artificial_intelligence,Existential risk from artificial intelligence,Existential_risk_from_artificial_intelligence,,
687923547,687921316,"06Dom,TJ,Alex ext2015",26594493,2015-10-28T14:02:18Z,16171,/* Weaponization */ I elaborated on the subject matter as required via homework assignment. on people against weaponization and the navy's funding of AI weapons.,['visualeditor'],Existential_risk_from_artificial_intelligence,Existential risk from artificial intelligence,Existential_risk_from_artificial_intelligence,,
687924435,687923547,"06Dom,TJ,Alex ext2015",26594493,2015-10-28T14:10:21Z,17416,/* Weaponization */ Added specifics from an WSJ article with regards to my initial edit. Included Steve Wozniak and Hawkking's feelings on artificial intelligence weaponization.,['visualeditor'],Existential_risk_from_artificial_intelligence,Existential risk from artificial intelligence,Existential_risk_from_artificial_intelligence,,
687938160,687924435,2601:188:0:ABE6:65F5:930C:B0B2:CD63,0,2015-10-28T16:07:30Z,14332,"revert again--either inadequately sourced or copied from http://blogs.wsj.com/digits/2015/07/27/musk-hawking-warn-of-artificial-intelligence-weapons/--plagiarism isn't part of your homework, I'm sure",[],Existential_risk_from_artificial_intelligence,Existential risk from artificial intelligence,Existential_risk_from_artificial_intelligence,True,
688121234,687938160,"06Dom,TJ,Alex ext2015",26594493,2015-10-29T19:51:30Z,15687,Convergent Goals Edit - School Assignment,['visualeditor'],Existential_risk_from_artificial_intelligence,Existential risk from artificial intelligence,Existential_risk_from_artificial_intelligence,,
688165525,688121234,100.35.149.70,0,2015-10-30T01:54:45Z,17265,"/* Weaponization */  Added my own words, to the section about weaponization of AI. I cited my source and hope I did everything correctly, I apologize for causing the editors and admins a headache before from not knowing the proper wiki etiquette.",[],Existential_risk_from_artificial_intelligence,Existential risk from artificial intelligence,Existential_risk_from_artificial_intelligence,True,
688166870,688165525,"06Dom,TJ,Alex ext2015",26594493,2015-10-30T02:06:58Z,17776,/* Weaponization */ added content,[],Existential_risk_from_artificial_intelligence,Existential risk from artificial intelligence,Existential_risk_from_artificial_intelligence,,
688205736,688166870,"06Dom,TJ,Alex ext2015",26594493,2015-10-30T10:12:10Z,19938,"Added sources and added information to ""Misspecified Goals"" section of article. Also added quote from article to closure",['visualeditor'],Existential_risk_from_artificial_intelligence,Existential risk from artificial intelligence,Existential_risk_from_artificial_intelligence,,
688206804,688205736,"06Dom,TJ,Alex ext2015",26594493,2015-10-30T10:23:09Z,20142,,['visualeditor'],Existential_risk_from_artificial_intelligence,Existential risk from artificial intelligence,Existential_risk_from_artificial_intelligence,,
688238197,688206804,Jadixg,26664239,2015-10-30T15:26:54Z,20142,/* Weaponization */Fixed typo,"['mobile edit', 'mobile web edit']",Existential_risk_from_artificial_intelligence,Existential risk from artificial intelligence,Existential_risk_from_artificial_intelligence,,
688340206,688238197,BG19bot,14508071,2015-10-31T07:26:38Z,20050,[[WP:CHECKWIKI]] error fix for #61.  Punctuation goes before References. Do [[Wikipedia:GENFIXES|general fixes]] if a problem exists. - using [[Project:AWB|AWB]] (11700),[],Existential_risk_from_artificial_intelligence,Existential risk from artificial intelligence,Existential_risk_from_artificial_intelligence,,
688560184,688340206,65.96.170.196,0,2015-11-01T18:35:33Z,20043,/* Weaponization */,[],Existential_risk_from_artificial_intelligence,Existential risk from artificial intelligence,Existential_risk_from_artificial_intelligence,True,
688565509,688560184,Vluczkow,25560009,2015-11-01T19:14:53Z,15759,/* Weaponization */  Moved section to Ethics of artificial intelligence page. Weaponization is generally not considered an existential risk.,[],Existential_risk_from_artificial_intelligence,Existential risk from artificial intelligence,Existential_risk_from_artificial_intelligence,,
688565644,688565509,Vluczkow,25560009,2015-11-01T19:16:02Z,15655,"Removed line about weaponization of AI. It is raised as a concern, but rarely as an existential one.",[],Existential_risk_from_artificial_intelligence,Existential risk from artificial intelligence,Existential_risk_from_artificial_intelligence,,
688573026,688565644,Vluczkow,25560009,2015-11-01T20:08:52Z,15659,/* Misspecified goals */,[],Existential_risk_from_artificial_intelligence,Existential risk from artificial intelligence,Existential_risk_from_artificial_intelligence,,
688573983,688573026,Vluczkow,25560009,2015-11-01T20:15:44Z,15300,/* Convergent goals */ Several small changes designed to clarify the definition of instrumental convergence.,[],Existential_risk_from_artificial_intelligence,Existential risk from artificial intelligence,Existential_risk_from_artificial_intelligence,,
688574034,688573983,Vluczkow,25560009,2015-11-01T20:16:07Z,15300,/* Instrumental Convergence */,[],Existential_risk_from_artificial_intelligence,Existential risk from artificial intelligence,Existential_risk_from_artificial_intelligence,,
688574312,688574034,Polar Mermaid,21317072,2015-11-01T20:18:43Z,15263,/* Instrumental convergence */,[],Existential_risk_from_artificial_intelligence,Existential risk from artificial intelligence,Existential_risk_from_artificial_intelligence,,
689339720,688574312,The Transhumanist,1754504,2015-11-06T13:57:28Z,15263,The Transhumanist moved page [[Existential risk from advanced artificial intelligence]] to [[Existential risk from artificial general intlligence]]: article specifically address the potential risk of the advent of [[artificial general intelligence]],[],Existential_risk_from_artificial_intelligence,Existential risk from artificial intelligence,Existential_risk_from_artificial_intelligence,,
689351168,689339720,David Gerard,36389,2015-11-06T15:47:40Z,15263,David Gerard moved page [[Existential risk from artificial general intlligence]] to [[Existential risk from artificial general intelligence]]: typo in new title,[],Existential_risk_from_artificial_intelligence,Existential risk from artificial intelligence,Existential_risk_from_artificial_intelligence,,
689417052,689351168,169.237.107.176,0,2015-11-07T01:00:03Z,15244,/* Risk scenarios */ This argument was made by Russel way before Bostrom's 2014 publication,[],Existential_risk_from_artificial_intelligence,Existential risk from artificial intelligence,Existential_risk_from_artificial_intelligence,True,
690040834,689417052,The Transhumanist,1754504,2015-11-10T23:00:33Z,15482,add see also section,[],Existential_risk_from_artificial_intelligence,Existential risk from artificial intelligence,Existential_risk_from_artificial_intelligence,,
690041379,690040834,The Transhumanist,1754504,2015-11-10T23:04:31Z,15691,/* See also */ same section divider used in {{Main}},[],Existential_risk_from_artificial_intelligence,Existential risk from artificial intelligence,Existential_risk_from_artificial_intelligence,,
